Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Midlands
Areal series, starting in 1836
Last updated 01-Aug-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1856   73.5   52.8   22.4   62.9   76.9   49.1   46.7  109.7   81.1   66.3   32.2   65.8   153.3   162.2   205.5   179.5   739.3
1857   69.5   29.7   52.0   64.0   41.4   66.4   61.7  117.3   72.4   68.1   41.8   20.3   165.0   157.4   245.3   182.3   704.5
1858   19.3   21.6   27.7   80.1   58.5   52.5   48.8   68.3   66.8   86.6   25.6   60.6    61.3   166.3   169.5   178.9   616.3
1859   37.4   44.4   62.4   73.1   29.1   64.0   55.6   89.1   83.7   75.7   71.1   65.9   142.4   164.7   208.8   230.4   751.6
1860   88.4   28.6   65.6   29.4   79.6  136.5   48.5  127.6   69.4   63.4   68.4   75.2   182.9   174.7   312.7   201.2   880.8
1861   21.9   72.7   87.1   29.0   27.7   67.8  111.9   30.6   70.0   39.1   83.6   46.1   169.8   143.8   210.3   192.8   687.5
1862   59.7   16.7   99.2   59.4   93.4   66.9   60.5   56.5   84.2   97.0   25.2   50.3   122.5   252.0   183.9   206.4   769.1
1863   91.0   20.1   23.7   33.8   28.6  104.1   27.9   76.0   85.1   96.5   64.4   41.9   161.4    86.1   208.0   246.0   693.2
1864   32.4   47.1   69.1   38.1   49.2   43.1   19.5   28.1   68.0   60.1   69.9   50.8   121.4   156.5    90.7   198.0   575.4
1865   66.5   58.1   29.3   26.9   67.7   44.1   75.9  108.2    7.5  133.4   73.0   37.3   175.4   124.0   228.2   213.8   728.0
1866   79.5   80.3   46.8   36.3   35.2   85.8   71.4   99.7  149.5   63.1   74.8   67.1   197.1   118.2   256.9   287.4   889.4
1867   84.2   54.7   71.0   80.1   63.2   46.2   79.5   62.5   59.9   73.3   26.5   54.6   206.0   214.2   188.1   159.7   755.6
1868   72.2   53.9   62.9   47.8   34.2   11.5   14.2   97.1   75.2   74.2   47.6  167.9   180.8   144.9   122.8   197.0   758.8
1869   93.7   78.1   44.3   45.2  117.1   32.2   17.2   39.3  120.3   49.0   66.8  107.8   339.7   206.5    88.7   236.1   810.9
1870   52.1   49.0   46.2   21.9   31.2   28.3   32.0   47.6   37.2  135.8   56.9   63.0   208.8    99.3   107.8   229.8   600.9
1871   38.3   49.3   33.5   78.6   35.3   89.4  104.7   36.5  137.1   66.6   26.4   43.7   150.6   147.4   230.6   230.1   739.2
1872  116.0   74.8   62.0   78.2   53.7  110.7  120.6   81.0   82.1  121.4  114.5  105.1   234.4   193.8   312.2   318.0  1119.9
1873   78.8   30.0   67.2   20.8   59.7   64.0   68.7   78.4   50.8   68.7   56.7   18.7   213.9   147.7   211.1   176.2   662.5
1874   64.5   53.0   39.1   39.8   37.5   22.1   37.3   73.9   86.5   81.0   77.1   64.3   136.1   116.5   133.4   244.6   676.2
1875   94.4   38.2   22.7   34.1   52.6   83.8  146.4   65.7   83.4  150.4  113.4   36.2   196.9   109.4   295.9   347.2   921.3
1876   48.9   78.4   86.6   74.7   18.5   55.8   41.1   64.4  125.7   60.7   96.6  158.3   163.5   179.8   161.3   283.0   909.6
1877  113.6   61.7   62.0   73.3   70.3   39.9   93.4  117.6   67.1   67.5   94.0   60.8   333.5   205.5   250.9   228.7   921.1
1878   58.8   38.1   29.0   57.5  127.5   75.5   32.5  153.5   66.5   87.4   82.2   50.7   157.7   214.0   261.5   236.0   859.1
1879   49.7   80.4   30.2   65.8   68.2  128.1   98.0  134.2   75.0   31.9   29.5   32.3   180.8   164.1   360.3   136.5   823.3
1880   13.1   77.8   45.0   47.9   47.3   86.3  153.8   34.7  107.7  138.1   69.6   97.4   123.2   140.3   274.8   315.4   918.8
1881   22.1   98.1   65.4   25.7   43.6   61.3   60.1  127.8   53.4   76.0   85.8   82.8   217.6   134.6   249.2   215.3   802.1
1882   65.2   60.0   50.6   95.3   52.7  105.5  101.9   62.0   65.8  139.1  111.9  102.6   208.0   198.5   269.4   316.8  1012.6
1883   91.9   84.7   29.5   45.0   40.7   88.3   83.0   36.6  132.3   80.5   95.3   35.0   279.2   115.2   208.0   308.0   842.7
1884   89.3   50.8   55.7   43.4   31.2   47.3   90.4   47.1   44.9   36.8   40.2   74.8   175.1   130.3   184.8   121.9   651.9
1885   52.7   78.3   37.1   55.2   62.2   70.4   15.2   60.1   93.4  125.3   86.7   27.3   205.8   154.5   145.7   305.3   763.7
1886  100.3   19.4   68.2   53.0  140.7   32.6   87.1   44.9   57.0  115.1   61.7  110.0   146.9   262.0   164.6   233.8   890.0
1887   62.9   19.3   39.7   30.7   49.6   28.2   31.6   45.9   69.6   57.7   58.2   50.3   192.2   120.0   105.6   185.6   543.7
1888   24.9   32.5   75.2   50.4   26.4   61.3  139.0   71.0   27.6   22.4  138.0   62.5   107.7   152.0   271.3   188.1   731.3
1889   29.3   47.2   78.3   87.8   89.7   20.2   66.0   85.3   55.0   89.3   29.4   47.7   139.0   255.8   171.5   173.7   725.1
1890   85.2   20.0   46.6   27.0   56.9   57.1   70.7   83.2   35.0   42.3   91.4   21.1   152.9   130.5   211.0   168.7   636.5
1891   54.3    3.4   39.2   47.1   84.4   62.7   66.4  121.1   48.3  142.6   71.8  109.4    78.9   170.7   250.3   262.7   850.8
1892   45.7   44.8   23.1   27.1   61.0   77.4   60.4   76.0   71.0  102.5   49.3   35.9   199.9   111.1   213.8   222.8   674.1
1893   45.0   84.2   13.5   10.2   52.5   36.0   77.3   53.9   42.3   66.6   49.0   78.8   165.0    76.2   167.2   157.8   609.2
1894   61.6   77.2   43.6   50.5   55.3   61.8   78.7   72.5   38.7   93.6   81.3   61.2   217.6   149.4   213.1   213.7   776.2
1895   92.7    7.0   58.6   53.9   17.4   36.0   98.2   69.1   23.4   80.1  103.7   65.8   161.0   129.9   203.3   207.1   705.9
1896   27.9   20.0   79.4   29.6   10.7   65.6   42.8   53.8  131.8   86.5   32.1   99.3   113.6   119.7   162.2   250.5   679.7
1897   53.3   75.2   86.9   52.3   32.8   75.0   26.1  101.4   71.7   38.1   53.0   87.7   227.8   172.0   202.5   162.8   753.5
1898   30.2   42.7   28.4   55.7   81.7   39.5   27.8   81.9   19.8   94.6   62.3   73.8   160.5   165.8   149.2   176.8   638.4
1899   98.6   59.0   27.9   65.1   63.9   45.2   41.3   32.8   85.3   74.1   51.3   61.2   231.3   156.9   119.3   210.7   705.7
1900   96.1  114.8   21.7   32.6   45.5   71.5   56.8  107.8   20.5   84.7   69.5  114.0   272.1    99.8   236.1   174.8   835.5
1901   42.1   34.6   60.8   57.5   30.1   49.0   74.9   52.1   34.9   50.9   55.5  117.8   190.7   148.4   176.0   141.3   660.2
1902   35.1   36.1   41.9   50.6   66.0   58.2   43.2   91.4   40.6   71.7   56.6   54.4   189.0   158.5   192.8   168.9   645.7
1903   71.7   47.5  100.6   47.0   88.5   65.2   76.6  110.5   86.5  177.9   52.8   45.4   173.6   236.1   252.3   317.2   970.2
1904   74.9   97.4   44.8   39.9   61.8   22.9   65.6   77.4   44.6   23.3   44.5   51.1   217.7   146.5   166.0   112.4   648.4
1905   27.0   26.7   83.1   57.4   16.6   74.6   36.5  105.4   44.0   44.3   85.2   22.1   104.9   157.2   216.5   173.5   623.1
1906  105.5   58.2   45.0   24.6   60.1   65.6   28.1   46.2   27.1  133.3   85.5   63.0   185.9   129.6   139.9   245.9   742.1
1907   32.0   39.3   38.1   58.2   88.0   84.6   70.5   67.3   18.2  140.8   63.6   88.7   134.2   184.3   222.3   222.5   789.1
1908   38.7   41.2   79.5   72.7   58.4   43.6   71.6   82.5   59.7   41.8   41.6   55.3   168.6   210.6   197.7   143.0   686.6
1909   33.9   22.2   79.4   54.6   39.3   84.9   87.8   66.3   72.1   98.9   22.9  115.9   111.4   173.3   239.0   194.0   778.3
1910   69.6   82.1   19.1   59.3   55.1   63.8   69.5  105.2   14.0   74.7  107.1  128.3   267.5   133.4   238.5   195.8   847.8
1911   27.1   52.0   45.5   32.3   35.0   61.4    9.4   50.7   48.5   64.3   80.7  137.5   207.5   112.8   121.4   193.5   644.4
1912  104.1   46.3   99.4    7.8   68.2  117.3  103.8  167.2   32.6   79.7   57.2   93.0   287.9   175.3   388.4   169.5   976.5
1913   98.5   29.9  105.7   89.0   59.6   29.3   27.8   36.0   55.0   92.9   73.5   37.0   221.4   254.3    93.2   221.5   734.4
1914   37.1   56.9   81.8   28.2   41.5   61.8   89.3   52.7   34.7   57.0   93.0  157.1   131.0   151.5   203.8   184.7   790.9
1915   88.8   97.7   27.6   29.5   58.6   30.8  133.1   71.1   28.3   58.0   62.7  144.6   343.5   115.7   235.0   149.1   830.8
1916   42.8  112.4  103.8   37.6   64.4   51.5   51.0   73.7   36.4  109.1   83.1   70.5   299.7   205.8   176.2   228.6   836.3
1917   54.3   25.9   55.2   42.5   67.1   59.7   49.0  147.6   46.2  101.6   43.7   32.6   150.7   164.8   256.3   191.5   725.3
1918   64.7   55.5   32.9   55.3   59.2   24.9   88.8   48.9  161.6   46.4   50.3   96.5   152.8   147.4   162.7   258.3   785.1
1919   97.5   64.2  116.7   50.9   27.3   28.3   71.3   69.0   49.7   63.6   49.8  113.2   258.3   195.0   168.6   163.1   801.6
1920   86.8   45.4   68.3  118.7   70.6   66.9  122.1   35.0   52.2   59.3   31.9   70.9   245.3   257.6   224.0   143.4   828.1
1921   84.2    8.1   41.8   30.8   41.0   11.3   18.6   92.8   32.8   51.3   52.7   68.2   163.2   113.6   122.7   136.8   533.7
1922   91.2   79.8   57.6   74.0   27.3   30.1  114.2  118.6   65.4   20.8   36.1   97.4   239.2   159.0   262.9   122.4   812.6
1923   48.8  129.3   45.7   61.8   60.3   16.1   85.8   73.1   73.0  101.9   66.2   79.9   275.5   167.8   175.0   241.1   841.9
1924   72.4   18.7   29.1   65.4  124.0   59.1   95.9   84.6   93.5  109.5   60.0   90.2   171.0   218.5   239.6   262.9   902.4
1925   60.4   95.7   23.4   56.6   94.0    2.2   65.0   71.4   88.0   91.7   50.8   72.4   246.4   174.0   138.6   230.5   771.7
1926   88.6   64.8   21.6   56.8   76.3   59.9   61.1   62.5   40.7   70.8  132.1   21.8   225.8   154.7   183.6   243.6   757.1
1927   71.0   62.1   69.7   53.2   33.8   97.6   82.5  117.5  121.4   62.6   85.5   64.6   154.9   156.6   297.6   269.5   921.4
1928  135.2   68.9   61.1   31.2   30.4   86.3   43.1   78.5   21.4  119.8   99.6   60.8   268.6   122.7   207.9   240.8   836.3
1929   38.1   17.9    6.8   28.3   49.4   38.7   51.5   57.9   23.9  101.4  167.8  153.6   116.8    84.5   148.0   293.1   735.2
1930  114.6   17.8   63.0   72.5   55.6   37.2  113.6   82.1   98.7   75.8   94.8   78.5   286.0   191.1   232.9   269.3   904.2
1931   56.6   71.7    8.3   92.9   86.9   99.2   95.7  118.4   75.0   24.5  107.2   33.6   206.8   188.1   313.2   206.7   870.0
1932   67.6    7.5   49.6   81.3  144.2   24.9   90.9   52.7   74.5  112.9   52.8   30.4   108.7   275.1   168.5   240.1   789.2
1933   53.7   89.2   66.8   29.6   48.3   54.5   52.8   21.2   43.5   97.2   38.0   12.8   173.3   144.6   128.5   178.7   607.4
1934   64.6   10.6   56.7   61.7   33.2   33.1   42.0   57.2   54.5   57.4   51.4  133.0    88.0   151.6   132.3   163.3   655.4
1935   30.8   79.1   21.0   90.2   24.7   87.7   19.6   46.0  119.7  113.5  132.6   85.2   242.9   135.9   153.4   365.7   850.1
1936   97.6   60.8   53.3   47.7   25.7   96.0  128.6   27.5   84.5   54.8   80.7   72.1   243.6   126.7   252.2   220.0   829.4
1937   98.3  112.9   72.8   70.2   71.4   35.3   67.8   28.0   48.4   73.1   41.8   68.8   283.4   214.4   131.1   163.4   789.0
1938   89.3   25.9   11.8    4.5   59.3   49.2   77.4   84.8   53.4  102.6   90.6   96.1   184.0    75.6   211.3   246.6   744.8
1939  138.9   42.9   49.0   56.1   32.0   52.1  127.3   67.8   27.1   92.0  120.6   50.6   278.0   137.2   247.2   239.6   856.5
1940   69.4   64.6   56.8   63.3   43.4   22.0   89.8   12.1   38.2   97.2  168.9   54.3   184.6   163.5   123.9   304.3   780.1
1941   84.2   77.5   80.2   40.0   59.4   34.3   84.8  104.8   16.0   73.8   76.3   38.5   216.1   179.6   223.9   166.1   769.9
1942   82.3   26.7   54.0   34.9   90.8   16.6   59.7   79.4   43.1   75.5   38.7   76.4   147.5   179.8   155.7   157.3   678.2
1943  122.5   37.4   26.0   31.0   73.8   56.1   36.8   65.6   69.8   60.8   52.7   35.3   236.3   130.8   158.6   183.3   667.9
1944   75.5   39.2   10.2   52.6   34.9   56.9   64.3   70.2   94.3   91.6  120.2   54.9   150.0    97.6   191.4   306.2   764.9
1945   58.8   64.8   25.5   37.6   72.3   75.4   54.3   67.4   48.7  103.7   11.0   76.5   178.4   135.4   197.1   163.4   696.0
1946   70.2   80.1   27.7   43.3   63.9   72.7   58.5  133.7  108.9   28.0  143.8   72.9   226.9   134.9   264.9   280.6   903.7
1947   60.4   48.1  145.7   65.8   56.9   49.7   67.5   13.1   41.4   13.7   63.0   64.9   181.4   268.5   130.3   118.2   690.4
1948  144.2   41.1   30.0   48.9   65.9   78.1   35.9  105.4   66.5   64.5   41.9   95.2   250.2   144.8   219.4   172.9   817.6
1949   36.5   32.8   39.9   63.2   61.7   15.9   60.2   44.3   39.7  126.4   90.2   68.3   164.5   164.8   120.5   256.2   679.1
1950   27.5  126.1   33.1   64.8   51.3   43.8   78.2   99.6  102.4   31.5  116.2   45.8   221.9   149.2   221.6   250.1   820.4
1951   73.7   86.3  102.2   60.1   84.8   30.1   38.4  119.3   59.5   26.3  168.9   79.1   205.9   247.0   187.8   254.6   928.6
1952   67.1   18.6   59.1   52.6   66.8   52.0   27.8   88.7   58.0   99.4   65.2   70.3   164.8   178.5   168.5   222.6   725.5
1953   25.3   45.7   30.7   64.9   51.9   58.6   82.4   78.3   60.0   57.5   51.6   30.4   141.3   147.5   219.3   169.1   637.3
1954   47.0   67.5   61.2   12.2   74.2   82.1   72.7  119.5   71.7  102.9  145.9   78.7   144.9   147.6   274.2   320.5   935.5
1955   64.5   49.8   62.3   29.3  104.1   80.2   19.9   19.0   40.4   48.3   57.0   77.3   193.0   195.8   119.1   145.6   652.2
1956  103.4   20.3   27.4   43.9   19.0   68.0   92.2  139.8   73.9   45.9   24.8   86.7   201.0    90.4   300.0   144.5   745.3
1957   52.4   72.7   58.3    7.0   37.2   43.6   95.2  107.9  121.3   55.2   54.3   67.6   211.8   102.5   246.7   230.8   772.7
1958   73.7  109.3   41.6   20.8   70.2  110.1  100.8   76.4   99.7   70.0   47.9   84.9   250.6   132.7   287.3   217.6   905.4
1959   91.0    6.2   55.5   78.3   25.3   37.2   51.0   29.1    3.9   66.8   88.0  131.2   182.1   159.2   117.4   158.6   663.6
1960  125.7   63.4   42.9   33.5   39.2   56.6  100.1   99.2  105.9  147.7  118.5   91.2   320.3   115.6   255.9   372.1  1023.9
1961   88.0   58.2   11.1   98.2   31.4   34.8   64.4   69.7   60.8   81.5   47.3   88.0   237.3   140.6   169.0   189.5   733.2
1962   84.1   31.4   32.4   67.3   59.2   13.6   50.9  110.0   90.0   26.3   50.3   56.0   203.5   158.8   174.4   166.7   671.4
1963   27.1   21.0   82.1   63.8   42.0   79.4   47.1   79.6   62.1   48.9  128.7   19.7   104.1   187.8   206.1   239.6   701.4
1964   23.2   26.0   87.7   54.6   48.9   69.6   50.2   43.6   24.0   42.4   39.9   80.1    68.9   191.1   163.4   106.3   590.2
1965   80.0   14.9   67.3   54.0   54.6   66.1   92.1   54.2  134.6   25.7   86.6  150.4   175.0   175.9   212.4   246.9   880.6
1966   43.2  112.5   33.8   96.5   67.0   74.1   68.5   98.5   45.4  106.2   69.6   94.8   306.1   197.2   241.0   221.2   909.9
1967   44.3   76.0   49.1   35.6  138.7   33.3   48.0   67.8   81.7  143.2   56.4   64.5   215.1   223.4   149.1   281.3   838.6
1968   70.8   36.3   48.4   63.2   78.8   76.3  110.2   57.9  128.3   71.5   69.3   59.2   171.5   190.4   244.4   269.1   870.1
1969   74.8   64.9   68.5   56.5  125.1   45.0   58.2   75.9   34.7   14.4  103.9   71.0   198.9   250.1   179.1   153.1   793.0
1970   87.3   72.6   57.9   81.6   21.4   44.0   60.1   85.7   47.6   43.8  147.4   36.9   230.9   160.8   189.8   238.9   786.3
1971   91.0   29.0   56.8   56.3   45.4   85.8   41.4  108.7   24.8   70.3   72.9   33.9   157.0   158.5   235.9   168.0   716.3
1972   86.1   64.1   73.2   54.1   68.1   67.7   54.7   35.8   44.7   30.9   75.9   94.2   184.1   195.5   158.2   151.5   749.6
1973   36.9   36.4   21.0   65.3   75.3   67.5   99.3   49.8   59.0   46.9   42.7   52.0   167.5   161.7   216.6   148.6   652.2
1974   96.4   83.0   39.5   10.2   33.6   61.7   69.8   81.8  113.9   71.9   95.6   56.7   231.5    83.2   213.2   281.4   814.0
1975   87.0   27.6   73.0   59.5   36.3   15.4   61.2   43.5   72.3   27.6   48.6   45.0   171.3   168.7   120.1   148.6   597.0
1976   53.1   34.3   38.8   16.3   64.3   17.4   25.4   30.8  144.2  122.1   50.5   80.8   132.4   119.4    73.6   316.8   678.0
1977   83.2  141.4   58.7   49.1   45.0   95.8   16.7   92.3   30.0   48.4   86.5   77.1   305.4   152.9   204.9   165.0   824.4
1978   91.4   57.4   62.6   42.8   38.7   60.8   76.7   61.9   52.2   14.2   45.6  149.2   225.9   144.1   199.4   112.1   753.6
1979   68.2   54.2  110.0   64.3  115.3   29.8   26.1   82.1   32.7   58.0   71.1  138.5   271.6   289.7   138.0   161.7   850.3
1980   67.1   83.2   89.5   15.6   29.4  111.7   60.4   91.3   61.3  110.5   72.5   57.9   288.8   134.5   263.3   244.3   850.3
1981   52.7   53.2  130.5   63.6   81.1   38.0   35.5   54.0  127.7   90.8   54.6   78.4   163.8   275.2   127.5   273.1   860.2
1982   60.7   33.4   94.2   24.7   32.6  133.6   28.2   83.2   71.1   73.6   96.5   76.5   172.5   151.6   245.1   241.2   808.5
1983   80.0   30.2   55.3  107.7  111.5   21.9   43.8   27.2   89.2   64.7   42.6   94.9   186.7   274.6    92.9   196.5   769.0
1984  114.1   51.8   55.6    8.7   58.7   44.8   18.3   62.0  104.3   74.4  127.1   54.4   260.8   123.1   125.1   305.7   774.1
1985   55.6   28.5   50.1   61.5   72.2   95.1   62.1   85.9   28.8   46.4   66.3  101.6   138.5   183.8   243.1   141.5   754.1
1986  108.2   16.7   65.7   82.8   79.7   37.3   42.8  115.4   17.0   77.5   95.0  113.2   226.5   228.2   195.5   189.4   851.1
1987   24.1   45.0   76.0   61.1   41.2  112.5   56.4   60.5   54.2  134.1   64.5   44.0   182.3   178.3   229.4   252.7   773.5
1988  124.1   53.6   87.4   34.9   51.8   45.6  120.4   71.5   47.3   68.5   39.2   36.2   221.7   174.1   237.5   155.0   780.5
1989   34.0   67.6   67.9   91.5   25.0   54.9   42.5   45.7   35.9   82.8   50.3  127.7   137.7   184.4   143.0   169.0   725.7
1990  107.0  112.6   20.3   32.0   17.7   61.0   28.6   37.6   42.8   90.7   47.6   85.6   347.4    69.9   127.1   181.1   683.5
1991   75.9   49.0   59.6   63.0   11.4   80.1   71.8   21.2   55.4   54.2   77.0   42.3   210.5   134.0   173.1   186.6   660.9
1992   58.9   33.5   69.3   56.0   58.2   45.6   87.6  119.3   83.3   74.5  114.0   64.0   134.7   183.4   252.5   271.8   864.2
1993   87.4    9.9   17.3   83.3   77.2   64.6   77.8   44.7  101.3   75.4   60.7  132.7   161.3   177.9   187.2   237.5   832.5
1994   95.7   67.7   72.4   57.1   56.6   25.3   42.2   55.7  113.6   70.7   75.8  109.6   296.1   186.1   123.3   260.1   842.5
1995  131.3   87.8   54.2   21.4   47.7   14.9   30.1    8.3   97.7   38.2   65.2   77.2   328.6   123.2    53.2   201.1   673.7
1996   45.1   66.7   38.8   48.1   44.3   29.5   36.9   68.8   23.1   65.5   95.4   55.3   189.0   131.2   135.2   184.0   617.5
1997   12.1   89.6   24.0   27.4   75.7  119.6   46.8   86.1   28.1   59.3   88.1   76.3   156.9   127.1   252.5   175.5   733.1
1998   95.4   17.6   84.4  117.0   23.9  119.0   40.0   46.6   81.7  140.5   60.5   70.6   189.4   225.2   205.6   282.7   897.1
1999  114.9   43.0   67.9   70.1   62.4   76.1   21.5   99.2  104.5   79.1   47.7  117.5   228.4   200.4   196.8   231.3   903.9
2000   37.6   78.1   32.5  137.9   73.0   42.1   55.0   56.3  115.3  145.2  144.0  116.6   233.2   243.5   153.4   404.6  1033.7
2001   51.1   81.5   71.5   94.0   53.4   37.2   69.0   75.1   66.9  115.9   45.8   32.7   249.2   218.9   181.3   228.6   794.1
2002   66.3  117.0   37.6   45.4   74.7   46.4   93.5   62.9   30.3  126.4  115.3  110.2   216.0   157.7   202.8   272.0   926.0
2003   64.6   28.2   32.9   41.3   65.5   67.1   64.1   15.9   29.1   47.6   69.8   85.6   203.1   139.7   147.1   146.5   611.8
2004   98.0   40.6   41.2   87.1   42.9   51.8   60.4  154.9   51.3  121.3   46.5   44.0   224.2   171.2   267.1   219.2   840.0
2005   42.4   44.6   47.6   61.7   38.0   54.3   61.5   53.5   62.3   95.7   65.4   55.8   131.1   147.2   169.2   223.3   682.6
2006   22.3   41.7   77.7   43.6  104.1   16.5   49.5   85.0   75.7   95.1   82.8  100.9   119.8   225.4   151.0   253.5   794.9
2007   91.9   85.0   55.3    8.7  112.3  166.9  143.7   40.7   38.3   41.5   64.6   78.0   277.9   176.4   351.3   144.4   927.1
2008  127.1   36.8   84.4   62.8   59.5   52.9   98.1  102.8  103.9   78.6   76.4   54.7   242.0   206.7   253.8   258.9   938.0
2009   66.1   40.5   32.3   40.4   57.0   68.3  127.5   53.5   23.7   57.3  141.0   73.8   161.4   129.7   249.3   222.0   781.4
2010   61.2   56.1   50.2   24.9   31.6   40.2   53.3   98.4   67.4   65.0   71.3   27.6   191.1   106.7   191.9   203.6   647.1
2011   56.8   72.5   12.0    7.9   54.0   55.8   48.5   57.1   41.5   52.7   42.8   93.4   156.8    73.9   161.4   137.0   595.1
2012   62.8   29.1   22.9  140.2   51.7  151.8  112.6   88.1   87.6   86.8  113.2  137.5   185.3   214.7   352.6   287.6  1084.3
2013   64.2   45.5   65.2   21.9   78.5   36.2   67.4   52.6   44.8  132.9   58.8   89.6   247.2   165.6   156.2   236.5   757.5
2014  148.9  108.8   47.4   46.1  102.8   51.4   48.7  102.6   13.7   85.0   92.8   72.8   347.4   196.3   202.6   191.5   920.9
2015   75.4   41.0   52.4   23.3   79.2   37.5   65.9   80.3   41.7   57.3  107.5  120.8   189.2   154.9   183.7   206.5   782.3
2016   98.8   70.1   83.0   62.1   55.1   99.6   34.9   64.4   58.3   28.1   96.6   34.1   289.7   200.2   198.8   183.0   785.0
2017   59.0   55.9   66.8   16.3   55.8   66.2   79.9   67.9   84.6   46.3   55.0   87.8   148.9   138.9   213.9   185.8   741.4
2018   82.5   37.0  105.0   79.1   55.3   11.4   30.7   55.5   60.9   54.2   62.5   92.8   207.3   239.4    97.6   177.5   726.8
2019   32.2   38.5   83.6   36.0   42.6  124.1   78.9   80.3  115.0  128.9  125.2   88.1   163.4   162.2   283.3   369.1   973.3
2020   64.5  162.0   44.4   28.2    6.6   93.2   66.8  118.5   35.6  128.1   53.7  126.6   314.6    79.3   278.5   217.4   928.3
2021  124.6   64.0   45.1   13.5  119.6   36.8   80.4   43.2   59.5  105.5   33.9   84.2   315.2   178.1   160.4   198.9   810.3
2022   28.0  108.1   40.5   23.7   50.2   44.8   23.1                                      220.4   114.4                        
